"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 12 03:12:43 UTC 2023","Sun Nov 12 03:12:57 UTC 2023","14109","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Nov 12 02:48:53 UTC 2023","Sun Nov 12 02:48:56 UTC 2023","2706","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Nov 12 03:06:30 UTC 2023","Sun Nov 12 03:06:33 UTC 2023","2362","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Nov 12 03:05:22 UTC 2023","Sun Nov 12 03:05:28 UTC 2023","5651","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sun Nov 12 02:35:50 UTC 2023","Sun Nov 12 02:36:06 UTC 2023","16807","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Nov 12 03:11:01 UTC 2023","Sun Nov 12 03:11:02 UTC 2023","603","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Nov 12 02:47:03 UTC 2023","Sun Nov 12 02:47:23 UTC 2023","20268","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Nov 12 04:34:07 UTC 2023","Sun Nov 12 04:34:12 UTC 2023","5234","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sun Nov 12 02:46:37 UTC 2023","Sun Nov 12 02:46:58 UTC 2023","21194","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Nov 12 04:13:24 UTC 2023","Sun Nov 12 04:13:29 UTC 2023","4628","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
